"SUID","__gpml:GraphID","__gpml:textlabel","__gpml:XrefDatasource","__gpml:XrefId","BorderStyle","BorderThickness","Color","direction","Ensembl","FillColor","gsea rank","Height","HGNC","IsGPMLShape","LabelFont","LabelSize","name","parent","position","ptm","selected","Shape","shared name","Transparent","Type","Width"
"260","a49be","SFRP2","Ensembl","ENSG00000145423","","1.0","#000000","","ENSG00000145423","#ffffff",,"25.0","SFRP2","false","Dialog.plain","10.0","SFRP2","","","","false","Rectangle","SFRP2","false","GeneProduct","63.645"
"261","b127e","SFRP1","Ensembl","ENSG00000104332","","1.0","#000000","","ENSG00000104332","#ffffff","0.575899910357944","25.0","SFRP1","false","Dialog.plain","10.0","SFRP1","","","","false","Rectangle","SFRP1","false","GeneProduct","63.645"
"262","f0b3b","CTNNB1","Entrez Gene","1499","","1.0","#000000","","","#ffffff","-0.01213825890268","20.0","null","false","Dialog.plain","10.0","CTNNB1","","","","false","Rectangle","CTNNB1","false","GeneProduct","60.0"
"263","d2661","FRAT2","Ensembl","ENSG00000181274","","1.0","#000000","","ENSG00000181274","#ffffff","0.203410355965378","20.0","FRAT2","false","Dialog.plain","10.0","FRAT2","","","","false","Rectangle","FRAT2","false","GeneProduct","60.0"
"264","b45bf","SERPINF1","Ensembl","ENSG00000132386","","1.0","#000000","","ENSG00000132386","#ffffff",,"25.0","SERPINF1","false","Dialog.plain","10.0","SERPINF1","","","","false","Rectangle","SERPINF1","false","GeneProduct","63.645"
"265","eb80c","SOST","Ensembl","ENSG00000167941","","1.0","#000000","","ENSG00000167941","#ffffff",,"25.0","SOST","false","Dialog.plain","10.0","SOST","","","","false","Rectangle","SOST","false","GeneProduct","45.757"
"266","b61c4","DKK4","Ensembl","ENSG00000104371","","1.0","#000000","","ENSG00000104371","#ffffff",,"25.0","DKK4","false","Dialog.plain","10.0","DKK4","","","","false","Rectangle","DKK4","false","GeneProduct","45.757"
"267","b4e57","DKK2","Ensembl","ENSG00000155011","","1.0","#000000","","ENSG00000155011","#ffffff",,"25.0","DKK2","false","Dialog.plain","10.0","DKK2","","","","false","Rectangle","DKK2","false","GeneProduct","45.757"
"268","d9ec1","DKK1","Ensembl","ENSG00000107984","","1.0","#000000","","ENSG00000107984","#ffffff","-0.542824702534854","25.0","DKK1","false","Dialog.plain","10.0","DKK1","","","","false","Rectangle","DKK1","false","GeneProduct","45.757"
"269","fbd36","CTNNB1","Entrez Gene","1499","","1.0","#000000","","","#ffffff","-0.01213825890268","20.0","null","false","Dialog.plain","10.0","CTNNB1","","","","false","Rectangle","CTNNB1","false","GeneProduct","60.0"
"270","acb73","CTNNB1","Entrez Gene","1499","","1.0","#000000","","","#ffffff","-0.01213825890268","20.0","null","false","Dialog.plain","10.0","CTNNB1","","","","false","Rectangle","CTNNB1","false","GeneProduct","60.0"
"271","d073e","ROR2","Entrez Gene","4920","","1.0","#000000","","","#ffffff",,"25.0","null","false","Dialog.plain","10.0","ROR2","","","","false","Rectangle","ROR2","false","GeneProduct","43.306"
